id,book,page_num,chapter,chapter_title,section_title,content_length,has_figures,has_equations,has_references,has_captions,n_drawings,n_raster_images,page_type,img_path,qc_status
61,Dayan_Abbott,5,1,Neural Encoding I: Firing Rates and Spike Statistics,Introduction,1771,f,f,f,f,0,0,text,,passed
62,Dayan_Abbott,6,1,Neural Encoding I: Firing Rates and Spike Statistics,Introduction,3301,f,f,f,t,2,0,text,,passed
63,Dayan_Abbott,7,1,Neural Encoding I: Firing Rates and Spike Statistics,Introduction,1518,t,f,f,t,9,110,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0007.jpg,passed
697,Fundamental_Neuroscience,196,8,Release of Neurotransmitters,QUANTAL ANALYSIS: PROBING SYNAPTIC PHYSIOLOGY,5686,f,f,f,t,1,0,text,,passed
76,Dayan_Abbott,20,1,Neural Encoding I: Firing Rates and Spike Statistics,What Makes a Neuron Fire,2904,f,f,f,f,2,0,text,,passed
64,Dayan_Abbott,8,1,Neural Encoding I: Firing Rates and Spike Statistics,Introduction,2258,t,f,f,t,23,88,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0008.jpg,passed
222,Dayan_Abbott,166,5,Model Neurons I: Neuroelectronics,Integrate-and-Fire Models,2974,f,t,f,f,10,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0166.jpg,passed
65,Dayan_Abbott,9,1,Neural Encoding I: Firing Rates and Spike Statistics,Introduction,2359,t,f,f,t,27,44,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0009.jpg,passed
66,Dayan_Abbott,10,1,Neural Encoding I: Firing Rates and Spike Statistics,Introduction,3111,f,f,f,f,2,0,text,,passed
67,Dayan_Abbott,11,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2362,f,t,f,f,2,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0011.jpg,passed
68,Dayan_Abbott,12,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,3002,f,t,f,f,2,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0012.jpg,passed
69,Dayan_Abbott,13,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2639,f,t,f,f,7,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0013.jpg,passed
70,Dayan_Abbott,14,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,1872,t,t,f,t,50,0,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0014.jpg,passed
71,Dayan_Abbott,15,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2579,f,t,f,f,2,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0015.jpg,passed
72,Dayan_Abbott,16,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2499,f,t,f,t,5,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0016.jpg,passed
73,Dayan_Abbott,17,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2274,t,t,f,t,47,69,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0017.jpg,passed
550,Fundamental_Neuroscience,49,2,Basic Plan of the Nervous System,THE BASIC PLAN OF NERVOUS SYSTEM CONNECTIVITY,743,t,f,f,f,272,0,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0049.jpg,passed
74,Dayan_Abbott,18,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2594,t,t,f,t,17,72,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0018.jpg,passed
75,Dayan_Abbott,19,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Trains and Firing Rates,2235,t,t,f,t,29,19,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0019.jpg,passed
77,Dayan_Abbott,21,1,Neural Encoding I: Firing Rates and Spike Statistics,What Makes a Neuron Fire,2756,f,t,f,f,4,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0021.jpg,passed
78,Dayan_Abbott,22,1,Neural Encoding I: Firing Rates and Spike Statistics,What Makes a Neuron Fire,2097,t,t,f,t,4,69,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0022.jpg,passed
79,Dayan_Abbott,23,1,Neural Encoding I: Firing Rates and Spike Statistics,What Makes a Neuron Fire,2712,f,t,f,t,6,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0023.jpg,passed
552,Fundamental_Neuroscience,51,2,Basic Plan of the Nervous System,THE BASIC PLAN OF NERVOUS SYSTEM CONNECTIVITY,5494,f,f,f,t,1,0,text,,passed
80,Dayan_Abbott,24,1,Neural Encoding I: Firing Rates and Spike Statistics,What Makes a Neuron Fire,2230,t,t,f,t,14,124,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0024.jpg,passed
81,Dayan_Abbott,25,1,Neural Encoding I: Firing Rates and Spike Statistics,What Makes a Neuron Fire,2681,f,t,f,t,3,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0025.jpg,passed
120,Dayan_Abbott,64,2,Neural Encoding II: Reverse Correlation and Visual Receptive Fields,Reverse Correlation Methods - Simple Cells,2905,f,t,f,f,4,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0064.jpg,passed
82,Dayan_Abbott,26,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Train Statistics,2391,t,f,f,t,12,31,mixed,/home/claude/bri610-tutor/data/textbook_images/DA/p0026.jpg,passed
83,Dayan_Abbott,27,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Train Statistics,3052,f,t,f,f,2,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0027.jpg,passed
553,Fundamental_Neuroscience,52,2,Basic Plan of the Nervous System,OVERVIEW OF THE ADULT MAMMALIAN NERVOUS SYSTEM,4966,f,f,f,t,2,0,text,,passed
84,Dayan_Abbott,28,1,Neural Encoding I: Firing Rates and Spike Statistics,Spike Train Statistics,2547,f,t,f,t,5,0,equation,/home/claude/bri610-tutor/data/textbook_images/DA/p0028.jpg,passed
